size,growthRate,InitialSize,breaks,time,diff,stdGR
27.059,13.463000000000001,13.596,0,T6,T3 to T6,0.9902177110914976
18.514,6.551,11.963,0,T6,T3 to T6,0.5476051157736355
14.67,8.463000000000001,6.207,0,T6,T3 to T6,1.3634606089898504
24.783,12.509000000000002,12.274,0,T6,T3 to T6,1.019146162620173
3.138,1.287,1.851,0,T6,T3 to T6,0.6952998379254457
26.469,13.859000000000002,12.61,0,T6,T3 to T6,1.0990483743061064
25.773,10.158999999999999,15.614,0,T6,T3 to T6,0.6506340463686434
15.943,9.975,5.968,0,T6,T3 to T6,1.6714142091152815
1.284,0.518,0.766,0,T6,T3 to T6,0.6762402088772846
21.007,7.151000000000002,13.856,0,T6,T3 to T6,0.5160941108545036
4.162,2.013,2.149,0,T6,T3 to T6,0.9367147510469985
1.226,0.4,0.826,0,T6,T3 to T6,0.4842615012106538
3.44,1.853,1.587,0,T6,T3 to T6,1.1676118462507876
16.011,7.760999999999999,8.25,0,T6,T3 to T6,0.9407272727272726
0.71,0.061999999999999944,0.648,0,T6,T3 to T6,0.09567901234567892
40.627,28.814,11.813,0,T6,T3 to T6,2.4391771776856004
1.03,0.14300000000000002,0.887,0,T6,T3 to T6,0.161217587373168
20.928,13.121,7.807,0,T6,T3 to T6,1.6806711925195337
2.407,1.609,0.798,0,T6,T3 to T6,2.0162907268170427
41.397,18.522,22.875,0,T6,T3 to T6,0.8097049180327868
4.227,3.067,1.16,0,T6,T3 to T6,2.6439655172413796
33.378,12.675,20.703,0,T6,T3 to T6,0.6122301115780322
23.351,8.947999999999999,14.403,0,T6,T3 to T6,0.6212594598347565
16.767,6.802999999999999,9.964,0,T6,T3 to T6,0.6827579285427537
29.397,11.015999999999998,18.381,0,T6,T3 to T6,0.5993145095479027
1.265,0.5940009999999999,0.670999,0,T6,T3 to T6,0.8852487112499421
11.309,3.1029999999999998,8.206,0,T6,T3 to T6,0.37813794784304167
22.075,9.706999999999999,12.368,0,T6,T3 to T6,0.7848479948253556
22.334,10.471,11.863,0,T6,T3 to T6,0.8826603725870353
21.741,12.176,9.565,0,T6,T3 to T6,1.272974385781495
11.739,0.8530000000000015,10.886,0,T6,T3 to T6,0.07835752342458217
3.688,2.615,1.073,0,T6,T3 to T6,2.437092264678472
16.853,5.958000000000002,10.895,0,T6,T3 to T6,0.5468563561266638
12.296,8.796,3.5,0,T6,T3 to T6,2.513142857142857
8.413,5.468,2.945,0,T6,T3 to T6,1.8567062818336164
9.598,2.814000000000001,6.784,0,T6,T3 to T6,0.41479952830188693
2.549,1.850527,0.698473,0,T6,T3 to T6,2.649389453851473
0.786,0.15800000000000003,0.628,0,T6,T3 to T6,0.25159235668789814
11.249,-0.8200000000000003,12.069,0,T6,T3 to T6,-0.06794266302096282
1.324,0.32200000000000006,1.002,0,T6,T3 to T6,0.32135728542914177
33.868,3.6570000000000036,30.211,0,T6,T3 to T6,0.12104862467313243
16.627,6.084999999999999,10.542,0,T6,T3 to T6,0.5772149497249098
8.005,0.6310000000000011,7.374,0,T6,T3 to T6,0.08557092487116913
12.345,0.2270000000000003,12.118,0,T6,T3 to T6,0.018732464102987317
2.525,0.28200000000000003,2.243,0,T6,T3 to T6,0.12572447614801607
24.245,11.899000000000001,12.346,0,T6,T3 to T6,0.9637939413575247
18.482,5.4559999999999995,13.026,0,T6,T3 to T6,0.41885459849531703
30.093,11.739,18.354,0,T6,T3 to T6,0.639588100686499
20.333,3.5269999999999975,16.806,0,T6,T3 to T6,0.2098655242175412
18.927,4.394,14.533,0,T6,T3 to T6,0.30234638409137826
20.047,7.163,12.884,0,T6,T3 to T6,0.5559608817137535
5.563,3.332,2.231,0,T6,T3 to T6,1.4935006723442403
30.797,7.124000000000002,23.673,0,T6,T3 to T6,0.3009335529928612
3.293,2.2760000000000002,1.017,0,T6,T3 to T6,2.237954768928221
23.365,10.511,12.854,0,T6,T3 to T6,0.8177221098490742
20.188,6.281999999999998,13.906,0,T6,T3 to T6,0.45174744714511705
7.4329,2.0698999999999996,5.363,0,T6,T3 to T6,0.38595935110945356
35.596,11.006999999999998,24.589,0,T6,T3 to T6,0.44763918825491067
16.77,7.086,9.684,0,T6,T3 to T6,0.7317224287484512
22.948,10.771600000000001,12.1764,0,T6,T3 to T6,0.8846292828750699
